run_id,random_seed,vehicle_id,collided,severity,collision_time,min_speed_mph,final_speed_mph
60,60,spawned_2,False,,,11.28,13.51
60,60,spawned_3,False,,,20.0,20.0
60,60,spawned_4,False,,,20.0,20.0
60,60,spawned_5,False,,,20.0,20.0
60,60,spawned_6,False,,,20.0,20.0
60,60,spawned_7,False,,,20.0,20.0
61,61,solo,False,,,0.0,20.04
61,61,spawned_1,False,,,20.0,20.0
61,61,spawned_2,False,,,20.0,20.0
61,61,spawned_3,False,,,20.0,20.0
61,61,spawned_4,False,,,20.0,20.0
61,61,spawned_5,False,,,20.0,20.0
61,61,spawned_6,False,,,20.0,20.0
61,61,spawned_7,False,,,20.0,20.0
62,62,solo,False,,,7.04,30.0
62,62,spawned_1,False,,,20.0,20.0
62,62,spawned_2,False,,,20.0,20.0
62,62,spawned_3,False,,,20.0,20.0
62,62,spawned_4,False,,,20.0,20.0
62,62,spawned_5,False,,,20.0,20.0
62,62,spawned_6,False,,,20.0,20.0
62,62,spawned_7,False,,,20.0,20.0
63,63,solo,False,,,7.04,30.0
63,63,spawned_1,False,,,20.0,20.0
63,63,spawned_2,False,,,20.0,20.0
63,63,spawned_3,False,,,20.0,20.0
63,63,spawned_4,False,,,20.0,20.0
63,63,spawned_5,False,,,20.0,20.0
63,63,spawned_6,False,,,20.0,20.0
63,63,spawned_7,False,,,20.0,20.0
64,64,solo,False,,,0.0,22.82
64,64,spawned_1,False,,,6.91,10.05
64,64,spawned_2,False,,,20.0,20.0
64,64,spawned_3,False,,,20.0,20.0
64,64,spawned_4,False,,,20.0,20.0
64,64,spawned_5,False,,,20.0,20.0
64,64,spawned_6,False,,,20.0,20.0
64,64,spawned_7,False,,,20.0,20.0
65,65,solo,False,,,7.04,30.0
65,65,spawned_1,False,,,20.0,20.0
65,65,spawned_2,False,,,20.0,20.0
65,65,spawned_3,False,,,20.0,20.0
65,65,spawned_4,False,,,20.0,20.0
65,65,spawned_5,False,,,20.0,20.0
65,65,spawned_6,False,,,20.0,20.0
65,65,spawned_7,False,,,20.0,20.0
66,66,solo,False,,,0.0,30.0
66,66,spawned_1,False,,,6.91,10.05
66,66,spawned_2,False,,,20.0,20.0
66,66,spawned_3,False,,,20.0,20.0
66,66,spawned_4,False,,,20.0,20.0
66,66,spawned_5,False,,,20.0,20.0
66,66,spawned_6,False,,,20.0,20.0
66,66,spawned_7,False,,,20.0,20.0
67,67,solo,False,,,3.48,17.3
67,67,spawned_1,False,,,20.0,20.0
67,67,spawned_2,False,,,11.28,13.51
67,67,spawned_3,False,,,20.0,20.0
67,67,spawned_4,False,,,20.0,20.0
67,67,spawned_5,False,,,20.0,20.0
67,67,spawned_6,False,,,20.0,20.0
67,67,spawned_7,False,,,20.0,20.0
68,68,solo,False,,,0.0,20.04
